RMS,Arabic_Description,English_Description,type,units,unit_type,FreqType,ImageUrl
100634078,Ceclor 500 mg Capsule 15pcs,Ceclor 500 mg Capsule 15pcs,antibiotic,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632136,Forticef 500 mg Capsule 15pcs,Forticef 500 mg Capsule 15pcs,antibiotic,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006231,Amoclan-Fort 625 mg Tablet 15pcs,Amoclan-Fort 625 mg Tablet 15pcs,antibiotic,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100005757,Tracon 100 mg Capsule 15pcs,Tracon 100 mg Capsule 15pcs,antibiotic,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101227685,Trium Eye Drop 0.35 ml 15 SDU,Trium Eye Drop 0.35 ml 15 SDU,drops,15,box,day,https://www.nahdionline.com/media/catalog/product/t/r/trium-eye-drop-0-35-ml-15-sdu-1_1_1.png
100022813,Pantomax 40 mg Tablet 15pcs,Pantomax 40 mg Tablet 15pcs,tablet,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025791,Pantozol 40 mg Tablet 15pcs,Pantozol 40 mg Tablet 15pcs,tablet,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026224,Toprazole 40 mg Tablet 15pcs,Toprazole 40 mg Tablet 15pcs,tablet,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026566,Lanzor 30 mg Capsule 15pcs,Lanzor 30 mg Capsule 15pcs,tablet,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101495647,Solotik 50 mg 15 Tablet,Solotik 50 mg 15 Tablet,tablet,15,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631740,Emox 500 mg Capsule 16pcs,Emox 500 mg Capsule 16pcs,antibiotic,16,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008801,Dalacin-C 150 mg Capsule 16pcs,Dalacin-C 150 mg Capsule 16pcs,antibiotic,16,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008780,Dalacin-C 300 mg Capsule 16pcs,Dalacin-C 300 mg Capsule 16pcs,antibiotic,16,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100655784,Ramipril Sandoz 2.5mg Tablet 20,Ramipril Sandoz 2.5mg Tablet 20,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100655792,Ramipril Sandoz 10mg Tablet 20,Ramipril Sandoz 10mg Tablet 20,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100655805,Ramipril Sandoz 5mg Tablet 20,Ramipril Sandoz 5mg Tablet 20,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100674352,Celebrex 200mg Capsule 20,Celebrex 200mg Capsule 20,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631731,Amoxil 250 mg Capsule 20pcs,Amoxil 250 mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631723,Remox 500 mg Capsule 20pcs,Remox 500 mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631715,Amoxil 500 mg Capsule 20pcs,Amoxil 500 mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100631416,Roxil 500 mg Capsule 20pcs,Roxil 500 mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630991,Hymox 250 mg Capsule 20pcs,Hymox 250 mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630982,Hymox 500 mg Capsule 20pcs,Hymox 500 mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100626916,Uvamin Retard 100mg Capsule 20pcs,Uvamin Retard 100mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100021554,Furazole 250/200 Tablet 20pcs,Furazole 250/200 Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100019833,Glomox 500 mg Capsule 20pcs,Glomox 500 mg Capsule 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100019825,Megamox 625 mg Tablet 20pcs,Megamox 625 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100017694,Flazol 500 mg Tablet 20pcs,Flazol 500 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100014119,Amrizole 250 mg Tablet 20pcs,Amrizole 250 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100014098,Flagyl 250 mg Tablet 20pcs,Flagyl 250 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100014080,Anazol 500 mg Tablet 20pcs,Anazol 500 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100014063,Anazol 250 mg Tablet 20pcs,Anazol 250 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009555,Keflex 500 mg Tablet 20pcs,Keflex 500 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009504,Meiact 200 mg Tablet 20pcs,Meiact 200 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100009141,Klavox 625 mg Tablet 20pcs,Klavox 625 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100008843,Klavox 375 mg Tablet 20pcs,Klavox 375 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007736,Curam 625 mg Tablet 20pcs,Curam 625 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007728,Megamox 375 mg Tablet 20pcs,Megamox 375 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100007701,Augmentin 375 mg Tablet 20pcs,Augmentin 375 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100006557,Augmentin 625 mg Tablet 20pcs,Augmentin 625 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100005108,Gloclav 625 mg Tablet 20pcs,Gloclav 625 mg Tablet 20pcs,antibiotic,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101322181,Hyfresh Gel 0.3% Eye Drop 20 Pcs,Hyfresh Gel 0.3% Eye Drop 20 Pcs,drops,20,box,day,https://www.nahdionline.com/media/catalog/product/h/y/hyfresh-gel-0-3-eye-drop-20-pcs-1_1.jpg
101038833,Ectollerg Ud 0.5 ml Eye Drop 20 pcs,Ectollerg Ud 0.5 ml Eye Drop 20 pcs,drops,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100859365,Blephaclean Pad 20 Piece Sterile,Blephaclean Pad 20 Piece Sterile,drops,20,box,day,Https://nahdionline.com/media/catalog/product/1/0/100859365_mainimage_1.jpg
100010097,Proxen 500 mg Tablet 20pcs,Proxen 500 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100013221,Xefo 8 mg Tablet 20pcs,Xefo 8 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100016624,Risperdal 2 mg Tablet 20pcs,Risperdal 2 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100023576,Premosan 10 mg Tablet 20pcs,Premosan 10 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100023584,Primperan 10 mg Tablet 20pcs,Primperan 10 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025547,Lopresor 100 mg Tablet 20pcs,Lopresor 100 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100028721,No-Uric 300 mg Tablet 20pcs,No-Uric 300 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100029046,Dicynone 500 mg Tablet 20pcs,Dicynone 500 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100029388,Isobide 20 mg Capsule 20pcs,Isobide 20 mg Capsule 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100029396,Isobide 40 mg Capsule 20pcs,Isobide 40 mg Capsule 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100029775,Trental 400 mg Tablet 20pcs,Trental 400 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100031912,Duphastone 10 mg Tablet 20pcs,Duphastone 10 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100606341,Selecta Plus 5mg/12.5 mg Tablet 20pcs,Selecta Plus 5mg/12.5 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100611925,Uniprost 4 mg Tablet 20pcs,Uniprost 4 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632515,Isoptin 240 mg Tablet 20pcs,Isoptin 240 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632620,Lasix 40 mg Tablet 20pcs,Lasix 40 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632638,Esidrex 25 mg Tablet 20pcs,Esidrex 25 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100633631,Aldactone 25 mg Tablet 20pcs,Aldactone 25 mg Tablet 20pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100932745,Atapina tablets 25mg 20 Pcs,Atapina tablets 25mg 20 Pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101035288,Adazio 25 mg 20 Tablets,Adazio 25 mg 20 Tablets,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101550992,Cebo 200 mg 20 capsule,Cebo 200 mg 20 capsule,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101559612,Isoptin 80 mg 20 Tablet,Isoptin 80 mg 20 Tablet,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101641675,Celect 200 mg 20 Capsule,Celect 200 mg 20 Capsule,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101690741,Omformin 500 mg Tablet 20 pcs,Omformin 500 mg Tablet 20 pcs,tablet,20,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100019796,Famvir 250 mg Tablet 21pcs,Famvir 250 mg Tablet 21pcs,antibiotic,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100030442,Climen Tablet 21pcs,Climen Tablet 21pcs,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100031007,Logynon Tablet 21pcs,Logynon Tablet 21pcs,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100032131,Yasmin Tablet 21pcs,Yasmin Tablet 21pcs,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100032448,Gynera Tablet 21pcs,Gynera Tablet 21pcs,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100032464,Marvelon Tablet 21pcs,Marvelon Tablet 21pcs,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100613752,Regulon Tablet 21pcs,Regulon Tablet 21pcs,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
101156961,Endometrin 100 mg Vaginal Tablets 21 pcs,Endometrin 100 mg Vaginal Tablets 21 pcs,tablet,21,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100018654,Zovirax 200 mg Tablet 25pcs,Zovirax 200 mg Tablet 25pcs,antibiotic,25,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100648074,Exforge Hct 5mg/160mg/25mg Tablets 28,Exforge Hct 5mg/160mg/25mg Tablets 28,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100648082,Exforge Hct 10mg/160mg/25mg Tablets 28,Exforge Hct 10mg/160mg/25mg Tablets 28,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100648091,Exforge Hct 5mg/160mg/12.5mg Tablets 28,Exforge Hct 5mg/160mg/12.5mg Tablets 28,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100648103,Exforge Hct 10mg/160mg/12.5mg Tablets 28,Exforge Hct 10mg/160mg/12.5mg Tablets 28,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100648111,Exforge Hct 10mg/320mg/25mg Tablets 28,Exforge Hct 10mg/320mg/25mg Tablets 28,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100010783,Cipram 20 mg Tablet 28pcs,Cipram 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100010812,Cipralex 10 mg Tablet 28pcs,Cipralex 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100012607,Exelon 1.5 mg Capsule 28pcs,Exelon 1.5 mg Capsule 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100012842,Cymbalta 60 mg Capsule 28pcs,Cymbalta 60 mg Capsule 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100012893,Exelon 3 mg Capsule 28pcs,Exelon 3 mg Capsule 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100013802,Lamictal 5 mg Dispersable Tablet 28pcs,Lamictal 5 mg Dispersable Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100014733,Peptazol 30 mg Capsule 28pcs,Peptazol 30 mg Capsule 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100015285,Ebixa 10 mg Tablet 28pcs,Ebixa 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100015429,Zyprexa 5 mg Tablet 28pcs,Zyprexa 5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100015525,Cipralex 20 mg Tablet 28pcs,Cipralex 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100016421,Prozac 20 mg Capsule 28pcs,Prozac 20 mg Capsule 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100017897,Arcoxia 60 mg Tablet 28pcs,Arcoxia 60 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100017926,Arcoxia 90 mg Tablet 28pcs,Arcoxia 90 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100021634,Singulair-Paediatric 4 mg Chewable Tablet 28pcs,Singulair-Paediatric 4 mg Chewable Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100021642,Singulair-Paediatric 5 mg Chewable Tablet 28pcs,Singulair-Paediatric 5 mg Chewable Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100021651,Singulair 10 mg Tablet 28pcs,Singulair 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100022258,Renitec 10 mg Tablet 28pcs,Renitec 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100022266,Renitec 5 mg Tablet 28pcs,Renitec 5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100022709,Crestor 20 mg Tablet 28pcs,Crestor 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100022733,Crestor 10 mg Tablet 28pcs,Crestor 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100024000,Normoten 50 mg Tablet 28pcs,Normoten 50 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100024069,Normoten 100 mg Tablet 28pcs,Normoten 100 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100024368,Tenormin 100 mg Tablet 28pcs,Tenormin 100 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100024755,Lescol-XL 80 mg Tablet 28pcs,Lescol-XL 80 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025053,Nexium 40 mg Tablet 28pcs,Nexium 40 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025184,Zinopril 10 mg Tablet 28pcs,Zinopril 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025192,Zinopril 20 mg Tablet 28pcs,Zinopril 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100025205,Tenormin 50 mg Tablet 28pcs,Tenormin 50 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026259,Inegy 20 mg/10 mg Tablet 28pcs,Inegy 20 mg/10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026267,Inegy 40 mg/10 mg Tablet 28pcs,Inegy 40 mg/10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026611,Zestril 10 mg Tablet 28pcs,Zestril 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026620,Zestril 20 mg Tablet 28pcs,Zestril 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100026996,Gasec 40 mg Capsule 28pcs,Gasec 40 mg Capsule 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100027438,Zestril 5 mg Tablet 28pcs,Zestril 5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100027471,Renitec 20 mg Tablet 28pcs,Renitec 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100028035,Evista 60 mg Tablet 28pcs,Evista 60 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100028086,Proscar 5 mg Tablet 28pcs,Proscar 5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100029169,Detrusitol 2 mg Tablet 28pcs,Detrusitol 2 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100031242,Ezetrol 10 mg Tablet 28pcs,Ezetrol 10 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100031293,Zocor 20 mg Tablet 28pcs,Zocor 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100031955,Januvia 100 mg Tablet 28pcs,Januvia 100 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100032368,Physiotens 0.4 mg Tablet 28pcs,Physiotens 0.4 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100032376,Physiotens 0.2 mg Tablet 28pcs,Physiotens 0.2 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100032472,Cerazette .075 mg Tablet 28pcs,Cerazette .075 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100033571,Blopress-Plus 8/12.5 mg Tablet 28pcs,Blopress-Plus 8/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100033678,Blopress-Plus 16/12.5 mg Tablet 28pcs,Blopress-Plus 16/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100601671,Co-Aprovel 300/25 mg Tablet 28pcs,Co-Aprovel 300/25 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100604813,Galvus 50 mg Tablet 28pcs,Galvus 50 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100604821,Co-Diovan 320/12.5 mg Tablet 28pcs,Co-Diovan 320/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100604830,Co-Diovan 320/25 mg Tablet 28pcs,Co-Diovan 320/25 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100604961,Invega 3 mg Tablet 28pcs,Invega 3 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100604979,Invega 6 mg Tablet 28pcs,Invega 6 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100604987,Invega 9 mg Tablet 28pcs,Invega 9 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629789,Aprovel 300 mg Tablet 28pcs,Aprovel 300 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629797,Aprovel 150 mg Tablet 28pcs,Aprovel 150 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629800,Atacand 16 mg Tablet 28pcs,Atacand 16 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629818,Atacand 8 mg Tablet 28pcs,Atacand 8 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629826,Cozaar 100 mg Tablet 28pcs,Cozaar 100 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629834,Cozaar 50 mg Tablet 28pcs,Cozaar 50 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629842,Blopress 8 mg Tablet 28pcs,Blopress 8 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100629851,Blopress 16 mg Tablet 28pcs,Blopress 16 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630026,Diovan 80 mg Tablet 28pcs,Diovan 80 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630034,Teveten 600 mg Tablet 28pcs,Teveten 600 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630042,Diovan 160 mg Tablet 28pcs,Diovan 160 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630051,Olmetec 40 mg Tablet 28pcs,Olmetec 40 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630077,Diovan 320 mg Tablet 28pcs,Diovan 320 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630122,Micardis 40 mg Tablet 28pcs,Micardis 40 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630131,Olmetec 20 mg Tablet 28pcs,Olmetec 20 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630296,Plavix 75 mg Tablet 28pcs,Plavix 75 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630333,Olmetec 40/25 mg Tablet 28pcs,Olmetec 40/25 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630384,Diovan 40 mg Tablet 28pcs,Diovan 40 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630392,Olmetec 20/12.5 mg Tablet 28pcs,Olmetec 20/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630405,Olmetec 40/12.5 mg Tablet 28pcs,Olmetec 40/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630552,Propecia 1 mg Tablet 28pcs,Propecia 1 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630632,Nebilet 5 mg Tablet 28pcs,Nebilet 5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100630683,Micardis 80 mg Tablet 28pcs,Micardis 80 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632401,Fortzaar 100/25 mg Tablet 28pcs,Fortzaar 100/25 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632419,Co-Aprovel 300/12.5 mg Tablet 28pcs,Co-Aprovel 300/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632427,Co-Aprovel 150/12.5 mg Tablet 28pcs,Co-Aprovel 150/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632435,Atacand-Plus 16/12.5 mg Tablet 28pcs,Atacand-Plus 16/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632451,Co-Diovan 80/12.5 mg Tablet 28pcs,Co-Diovan 80/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632718,Co-Diovan 160/12.5 mg Tablet 28pcs,Co-Diovan 160/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632726,Co-Diovan 160/25 mg Tablet 28pcs,Co-Diovan 160/25 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
100632734,Micardis-Plus 80/12.5 mg Tablet 28pcs,Micardis-Plus 80/12.5 mg Tablet 28pcs,tablet,28,box,day,https://www.nahdionline.com/media/wysiwyg/reds-404.png
